
python check_exposure_pixel.py 210716B/

 ---------------------------
 All Targets 
 ---------------------------
210716B/
find ./210716B/ |grep 'fit' 
...check exposure time and pixel size of all files...
315
./210716B/barnards/210716B_barnards_0079.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0104.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0143.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0249.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0159.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0221.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0075.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0230.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0171.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0191.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0225.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0147.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0148.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0203.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0036.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0001.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0028.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0197.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0019.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0100.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0065.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0059.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0010.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0173.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0032.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0038.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0027.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0212.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0102.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0093.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0042.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0044.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0086.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0165.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0131.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0168.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0185.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0151.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0043.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0061.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0098.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0125.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0070.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0084.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0005.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0251.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0055.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0016.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0141.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0011.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0215.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0080.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0146.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0204.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0118.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0007.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0208.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0091.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0202.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0110.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0054.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0167.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0255.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0013.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0174.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0012.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0003.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0199.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0211.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0169.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0194.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0177.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0198.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0050.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0164.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0081.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0120.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0077.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0114.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0224.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0030.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0047.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0222.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0207.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0201.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0135.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0156.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0123.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0189.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0158.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0128.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0018.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0245.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0218.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0109.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0024.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0139.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0124.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0248.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0052.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0058.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0015.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0103.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0121.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0039.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0106.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0073.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0078.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0238.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0009.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0153.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0126.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0105.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0049.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0236.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0082.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0133.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0170.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0138.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0129.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0217.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0193.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0041.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0254.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0172.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0057.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0037.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0071.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0116.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0186.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0220.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0066.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0234.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0229.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0096.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0021.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0145.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0206.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0022.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0157.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0083.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0136.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0064.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0130.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0231.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0068.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0144.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0020.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0184.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0062.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0214.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0213.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0196.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0048.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0108.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0232.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0250.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0226.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0045.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0233.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0029.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0097.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0101.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0178.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0060.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0053.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0025.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0074.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0161.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0119.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0160.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0192.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0134.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0219.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0127.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0181.fit 	 1056x1027 	 8S
./210716B/bias/210716B_bias_0015.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0018.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0008.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0012.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0007.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0014.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0011.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0004.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0013.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0005.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0020.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0002.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0016.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0009.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0017.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0006.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0019.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0010.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0003.fit 	 1056x1027 	 0S
./210716B/bias/210716B_bias_0001.fit 	 1056x1027 	 0S
./210716B/focus/210716B_focus_0005.fit 	 1056x1027 	 8S
./210716B/focus/210716B_focus_0004.fit 	 1056x1027 	 5S
./210716B/focus/210716B_focus_0003.fit 	 1056x1027 	 5S
./210716B/focus/210716B_focus_0001.fit 	 1056x1027 	 5S
./210716B/focus/210716B_focus_0006.fit 	 1056x1027 	 8S
./210716B/focus/210716B_focus_0009.fit 	 1056x1027 	 8S
./210716B/focus/210716B_focus_0002.fit 	 1056x1027 	 1S
./210716B/focus/210716B_focus_0008.fit 	 1056x1027 	 8S
./210716B/focus/210716B_focus_0007.fit 	 1056x1027 	 8S
./210716B/flat/210716B_flat_0002.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0003.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0005.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0010.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0008.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0009.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0001.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0006.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0007.fit 	 1056x1027 	 5S
./210716B/flat/210716B_flat_0004.fit 	 1056x1027 	 5S
./210716B/dark8s/210716B_dark8s_0009.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0003.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0007.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0004.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0006.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0008.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0001.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0002.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0005.fit 	 1056x1027 	 8S
./210716B/dark8s/210716B_dark8s_0010.fit 	 1056x1027 	 8S
./210716B/dark5s/210716B_dark5s_0003.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0005.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0004.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0009.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0006.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0002.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0001.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0008.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0007.fit 	 1056x1027 	 5S
./210716B/dark5s/210716B_dark5s_0010.fit 	 1056x1027 	 5S
 ---------------------------

